seq;timestamp;data
15;1747216882.139620;-17223.218750 90280.968750 -19540.462891 36314.175781 -179369.703125 -113569.968750 -99747.382812 -135518.000000 -1716.239624 -47418.957031 -39208.839844 3791.658936 38087.699219 27116.832031 30637.306641 17808.675781 13496.661133 25285.914062 -69104.882812 -5741.701172 21433.787109 -191671.703125 -55036.585938 -179619.921875 -165930.734375 -104234.437500 -74261.335938 -65073.902344 -39661.664062 -21144.023438
16;1747216882.318177;15684.216797 -34872.933594 -11703.277344 -121496.414062 -125686.898438 -56478.757812 -76431.140625 -85149.851562 -66332.781250 -81969.421875 -51707.835938 -38129.371094 -7962.864746 11188.013672 29774.759766 13707.028320 26614.691406 36221.015625 -16496.242188 14679.519531 -669.548767 -25030.402344 -29741.958984 -16671.957031 -37071.714844 -47000.929688 -63545.582031 -65209.062500 -51914.343750 -32400.755859
17;1747216882.499432;15687.744141 -36916.488281 -10444.591797 -109704.703125 -126563.218750 -61449.691406 -71176.117188 -69920.406250 -69594.882812 -83983.437500 -53319.351562 -29235.869141 -2223.496094 13308.955078 30031.996094 13172.406250 28605.330078 37406.437500 -21881.148438 16117.085938 -1579.077393 -18500.332031 -27190.708984 -14637.560547 -43476.207031 -50520.644531 -64767.035156 -60836.917969 -51460.960938 -33401.171875
18;1747216882.710080;-20838.476562 61173.179688 -21196.521484 7817.319336 -127576.664062 -121599.023438 422752.406250 -455631.156250 7022.198730 -22296.269531 -25490.699219 15722.675781 25415.021484 28534.958984 29888.996094 23328.498047 -36199.722656 31494.128906 -86397.687500 35988.324219 21096.583984 -304651.750000 -748443.687500 -181021.359375 -175267.125000 -105475.828125 -75317.187500 -59255.781250 -36066.906250 -16772.425781
19;1747216882.922971;24186.087891 -42432.433594 21283.576172 -81569.664062 -198743.406250 -118728.882812 -126250.296875 -83337.765625 -105652.882812 -63131.511719 -24920.968750 10323.717773 16547.308594 22948.521484 25803.208984 2717.679443 30365.501953 33736.738281 11472.244141 -124045.703125 15787.281250 150588.625000 -65990.289062 -50044.210938 -92035.609375 -82981.882812 -71189.390625 -50499.828125 -31543.089844 -16523.841797
20;1747216883.117822;-49052.625000 10913.974609 -43200.515625 18857.900391 -74279.250000 41922.878906 123253.164062 -2280.116455 34163.597656 42805.558594 27147.425781 26748.453125 23228.158203 21294.201172 21073.748047 65521.652344 -55011.457031 70138.445312 -74195.625000 -105102.390625 -417843.062500 -156701.375000 -214993.015625 -144845.828125 -98154.882812 -71513.226562 -45579.890625 -31443.523438 -22320.816406 -9467.462891
21;1747216883.310838;-26997.982422 54583.925781 -22931.875000 6562.065430 -181217.312500 -209403.515625 184848.734375 -36150.867188 2550.378174 23716.203125 13279.767578 17080.746094 19066.150391 19383.564453 21369.130859 31303.306641 -58601.386719 40489.179688 -70731.890625 -71889.148438 169333.875000 -570408.812500 -128728.390625 -140488.906250 -108354.656250 -79086.859375 -44020.796875 -33229.488281 -20731.748047 -10538.274414
22;1747216883.504515;25954.107422 -52457.691406 46510.402344 -93946.078125 -105148.796875 -101983.867188 -319284.437500 -87571.507812 -74755.078125 -44370.175781 -6126.605469 17028.115234 18829.597656 20800.289062 19773.650391 -5904.128418 31470.853516 29552.798828 95035.742188 -252316.828125 -83375.703125 -361431.062500 -158355.015625 -142326.546875 -106231.000000 -85038.671875 -51891.156250 -35534.296875 -21570.839844 -11600.298828
23;1747216883.698442;-17576.025391 -28587.550781 -30171.171875 -26506.849609 -26340.128906 -25360.201172 -25558.921875 -24436.537109 -25312.792969 -20321.101562 -21121.365234 -18312.558594 -10030.543945 -1445.966431 13512.615234 -16052.577148 -7801.039551 -7387.877930 -997.252808 -2937.728271 -4588.140137 -6708.194336 -4953.312012 -5569.623535 -12514.051758 -12448.619141 -19035.839844 -21076.498047 -20650.441406 -19002.632812
24;1747216883.878586;-11345.703125 -23908.691406 -15634.888672 -21826.675781 -20285.314453 -21015.001953 -19487.291016 -19138.212891 -19651.898438 -15660.303711 -17328.283203 -14491.575195 -10627.848633 -4576.051270 8609.946289 -1718.135986 -9420.950195 -3203.471191 -3243.890381 -2726.636963 -2359.921143 -2365.849854 -4600.166016 -6391.324219 -8688.077148 -10397.166016 -14782.151367 -18022.181641 -18238.664062 -20270.689453
25;1747216884.061768;-48080.406250 -36680.691406 -47080.437500 -32873.367188 -33996.933594 -33458.261719 -32685.917969 -34026.070312 -33029.207031 -30608.386719 -29485.113281 -23105.025391 -12520.591797 10689.362305 19822.669922 -5318.161133 7283.652344 1312.341064 1317.076782 -3894.801758 -5407.284668 -7410.735840 -10540.996094 -14751.513672 -16429.902344 -16830.960938 -29386.500000 -32890.410156 -33446.472656 -20705.039062
26;1747216884.241838;-110205.531250 -5449.996582 -199012.984375 -69756.234375 -108559.546875 -94331.593750 -120945.710938 -93223.750000 -115277.640625 -39913.609375 -6911.244629 -2565.235352 9133.863281 15223.943359 24805.753906 -27642.597656 49458.980469 -20149.138672 75173.171875 -20246.128906 -30174.812500 -26245.320312 -65713.773438 -129636.312500 -129186.937500 -64254.835938 -49777.195312 -42680.582031 -36289.582031 -16688.757812
27;1747216884.420251;8991.709961 -14222.353516 -4376.417480 -10777.890625 -10217.515625 -10646.878906 -9860.161133 -10306.728516 -10469.767578 -10943.918945 -6990.246094 -7270.016602 -3171.705566 -958.421814 4625.888184 -2713.006836 -9833.981445 -3891.213379 -4427.436523 -1242.776367 -2350.143555 -2947.538574 -1853.071899 -4848.691406 -5768.439941 -7404.453613 -8560.330078 -10020.224609 -10431.848633 -7478.735840
28;1747216884.616346;-3960.128906 -58521.492188 -25534.548828 -84997.414062 -58314.300781 -96339.492188 -51677.214844 -55351.324219 -46215.722656 -45418.750000 -39248.820312 -15507.025391 1156.062378 12223.953125 21800.144531 11545.775391 22035.146484 19586.076172 -19850.900391 16418.031250 -15078.720703 -25076.212891 -22672.656250 -30287.658203 -33246.167969 -40391.601562 -46136.167969 -37359.339844 -22845.529297 -12477.914062
